"target_id","reference_release","original_filename","raw_bytes","raw_sha256","canonical_prefix","canonical_data_uri_sha256","existing_canonical_ethscription","canonical_check_status","checked_at_utc","source_record_url"
"windows-31-tada","Windows 3.1 retail 3.10.103","TADA.WAV","27804","e78187f27ea746aee7ceda0d8daf701d8d3dc469b24c7b25b71fa32bf773b136","data:audio/wav;base64,","54b3dbcf82aff93cee9c6e6af119be87932b308813527377a9cb1101beef6c32","","not-found","2026-09-05T03:25:16.801Z","https://winworldpc.com/download/41574932-18c3-9a11-c3a4-e284a2c3a570"
"windows-31-chimes","Windows 3.1 retail 3.10.103","CHIMES.WAV","15920","84798041819704f56ec141ecf2cdc12b95eb8b2c5b4315ba84cab89b820e6060","data:audio/wav;base64,","1798efde13c543c3f8247f02ce8d63d679a60d54cff2b276090c1c24f86ff621","","not-found","2026-09-05T03:25:22.158Z","https://winworldpc.com/download/41574932-18c3-9a11-c3a4-e284a2c3a570"
"windows-31-chord","Windows 3.1 retail 3.10.103","CHORD.WAV","24982","e30478918dbcbc8b514915b721992f9f76c2e19b72ef0f418dd1bf8b3c38afd5","data:audio/wav;base64,","2cb3059f4b81c95a574fe5bcf4c905c94d1362e12a58d34c12bbc3c93d930ba3","","not-found","2026-09-05T03:25:27.571Z","https://winworldpc.com/download/41574932-18c3-9a11-c3a4-e284a2c3a570"
"windows-31-ding","Windows 3.1 retail 3.10.103","DING.WAV","11598","b5ad2d751f7cab05d61b372d6a41ce00a49ca653a9cbfaf6f6e093bf01415cd9","data:audio/wav;base64,","a5d874bdeda8a9098ca98608fb69e03073a286cd79c8d6c2748d07982837d22a","","not-found","2026-09-05T03:25:32.953Z","https://winworldpc.com/download/41574932-18c3-9a11-c3a4-e284a2c3a570"
"aol-welcome-1993","AOL 1.0 for Windows","WELCOME.WAV","13450","339887fb470798029a04b94abf5106cc7e9bc72e163bc9810599750fe2f596fb","data:audio/wav;base64,","a17870f8205463c4dd7706c62479a5d3b1a2de2fceb91a51a205d14b686c59f4","0xa8fc46cc129c693191dffb6d23c74869d8e25fd20ee7cc2a102afda758593e84","found","2026-09-05T03:25:38.345Z","https://winworldpc.com/download/45c2a9c3-9348-18c3-9a11-c3a4e284a2ef"
"aol-got-mail-1993","AOL 1.0 for Windows","GOTMAIL.WAV","9946","de26a6726130fedd92a220dce0246b8f0d1ab3b1b040ec56800f99903259a679","data:audio/wav;base64,","df99609184eff13a9b1453b60309a55f480538dd32b66312b831524096e5e003","0x7802ddffee8b4a11a14f60c824135f9aa119a82e021246d022eec8eff8ddb357","found","2026-09-05T03:25:43.737Z","https://winworldpc.com/download/45c2a9c3-9348-18c3-9a11-c3a4e284a2ef"
"aol-goodbye-1993","AOL 1.0 for Windows","GOODBYE.WAV","5450","2b31e8e992c1789a6c2c3f383fd5b0f0ace29f0fa1695a213a9c7fc07e3cbd33","data:audio/wav;base64,","841277ce4fe6267208ca159542f62a1cd719079f353078a081530cd3ef6d225e","0xf3a837e9baccec7fbefaa0310c09d011b55e3eeaa29391a4ac9b153c98676f20","found","2026-09-05T03:25:49.143Z","https://winworldpc.com/download/45c2a9c3-9348-18c3-9a11-c3a4e284a2ef"
"aol-instant-message-1993","AOL 1.0 for Windows","IM.WAV","10600","fc69197b7bf1d117ffdca457aff8d825b10945922e8097a6811331d0696002df","data:audio/wav;base64,","ff0b9b8a8eba65cae89632a26beee972fcc715a47f5c58b870a80d519b8dfe75","0x44b41bdd3767b3df87039eb558e27924c54c5891d05c52824387a4a76af66663","found","2026-09-05T03:25:54.524Z","https://winworldpc.com/download/45c2a9c3-9348-18c3-9a11-c3a4e284a2ef"
"aol-file-done-1993","AOL 1.0 for Windows","FILEDONE.WAV","7802","1a22e77cf57b4a7a287603e0a2f97729cc5f8f24f2bc9005728ab912d542710e","data:audio/wav;base64,","5f953bf34cea4cf1b310904ffb495e0409ae0f6421c28549aec6b0ef7de6eeec","0x7d99913f826988bc374353f6e516a548be235e416a8b4866375a01507e1c11cc","found","2026-09-05T03:25:58.527Z","https://winworldpc.com/download/45c2a9c3-9348-18c3-9a11-c3a4e284a2ef"
"icq-message","Mirabilis ICQ 1.02 Beta","Message.wav","9996","a9f6f2ecd6b9742c1057f5b3ab0889c08f2c6538df451b97b66c5ac46cbe9169","data:audio/wav;base64,","926cb7ee23bfcdd6040251863bb04c3f0bb095928a81a1ac0ed090dff2d22eb0","","not-found","2026-09-05T03:25:58.530Z","https://www.oldversion.com/windows/icq/icq-1-02-beta/"
"msn-new-message","Microsoft MSN Messenger Service 1.0.0863 (English)","type.wav","4454","7dcf1f942ac06f4c191b8dc849049d52e49f56952ccc2c7d078278281da1c234","data:audio/wav;base64,","02cfb98144c72f47ce8ad11596653da6b24b33f04cb69c46d66bdca08902e11e","","not-found","2026-09-05T03:25:58.533Z","https://archive.org/details/MSNMessengerClientsReup"
"msn-contact-online","Microsoft MSN Messenger Service 1.0.0863 (English)","online.wav","6160","41fbbe77e6e309a46a57bcef17f783bf365f9de67d35d70af4c93d90d86f53bb","data:audio/wav;base64,","f95509dadbe43c65c0c6b4bcebc4d4ce95cd38bff5ebbaba01155fb305a29866","","not-found","2026-09-05T03:25:58.535Z","https://archive.org/details/MSNMessengerClientsReup"
